i,t_sec,cmd,ok_full,Xc_cm,Z_cm,disp_px,cx_L,cx_R
471,90.618,SEARCHING,0,,,,,
472,90.815,SEARCHING,0,,,,,
473,91.001,SEARCHING,0,,,,,
474,91.197,SEARCHING,0,,,,,
475,91.383,SEARCHING,0,,,,,
476,91.569,SEARCHING,0,,,,,
477,91.752,SEARCHING,0,,,,,
478,91.937,SEARCHING,0,,,,,
479,92.13,SEARCHING,0,,,,,
480,92.315,SEARCHING,0,,,,,
481,92.504,SEARCHING,0,,,,,
482,92.687,SEARCHING,0,,,,,
483,92.873,SEARCHING,0,,,,,
484,93.068,SEARCHING,0,,,,,
485,93.252,SEARCHING,0,,,,,
486,93.508,SEARCHING,0,,,,,
487,93.693,SEARCHING,0,,,,,
488,93.879,SEARCHING,0,,,,,
489,94.074,SEARCHING,0,,,,,
490,94.257,SEARCHING,0,,,,,
491,94.446,SEARCHING,0,,,,,
492,94.641,SEARCHING,0,,,,,
493,94.828,SEARCHING,0,,,,,
494,95.025,SEARCHING,0,,,,,
495,95.213,SEARCHING,0,,,,,
496,95.399,SEARCHING,0,,,,,
497,95.584,SEARCHING,0,,,,,
498,95.772,SEARCHING,0,,,,,
499,95.957,SEARCHING,0,,,,,
500,96.154,SEARCHING,0,,,,,
501,96.339,SEARCHING,0,,,,,
502,96.524,SEARCHING,0,,,,,
503,96.709,SEARCHING,0,,,,,
504,96.895,SEARCHING,0,,,,,
505,97.093,SEARCHING,0,,,,,
506,97.286,SEARCHING,0,,,,,
507,97.472,SEARCHING,0,,,,,
508,97.657,SEARCHING,0,,,,,
509,97.842,SEARCHING,0,,,,,
510,98.037,SEARCHING,0,,,,,
511,98.237,SEARCHING,0,,,,,
512,98.482,SEARCHING,0,,,,,
513,98.668,SEARCHING,0,,,,,
514,98.854,SEARCHING,0,,,,,
515,99.053,SEARCHING,0,,,,,
516,99.237,SEARCHING,0,,,,,
517,99.423,SEARCHING,0,,,,,
518,99.615,SEARCHING,0,,,,,
519,99.8,SEARCHING,0,,,,,
520,99.986,SEARCHING,0,,,,,
521,100.182,SEARCHING,0,,,,,
522,100.37,SEARCHING,0,,,,,
523,100.558,SEARCHING,0,,,,,
524,100.742,SEARCHING,0,,,,,
525,100.93,SEARCHING,0,,,,,
526,101.126,SEARCHING,0,,,,,
527,101.313,SEARCHING,0,,,,,
528,101.499,SEARCHING,0,,,,,
529,101.687,SEARCHING,0,,,,,
530,101.873,SEARCHING,0,,,,,
531,102.069,SEARCHING,0,,,,,
532,102.255,SEARCHING,0,,,,,
533,102.442,SEARCHING,0,,,,,
534,102.627,SEARCHING,0,,,,,
535,102.811,SEARCHING,0,,,,,
536,103.0,SEARCHING,0,,,,,
537,103.204,SEARCHING,0,,,,,
538,103.443,SEARCHING,0,,,,,
539,103.633,SEARCHING,0,,,,,
540,103.818,SEARCHING,0,,,,,
541,104.091,SEARCHING,0,,,,,
542,104.369,SEARCHING,0,,,,,
543,104.676,SEARCHING,0,,,,,
544,104.862,SEARCHING,0,,,,,
545,105.062,SEARCHING,0,,,,,
546,105.246,SEARCHING,0,,,,,
547,105.428,SEARCHING,0,,,,,
548,105.614,SEARCHING,0,,,,,
549,105.807,SEARCHING,0,,,,,
550,105.995,SEARCHING,0,,,,,
551,106.194,SEARCHING,0,,,,,
552,106.38,SEARCHING,0,,,,,
553,106.566,SEARCHING,0,,,,,
554,106.752,SEARCHING,0,,,,,
555,106.941,SEARCHING,0,,,,,
556,107.139,SEARCHING,0,,,,,
557,107.326,SEARCHING,0,,,,,
558,107.512,SEARCHING,0,,,,,
559,107.7,SEARCHING,0,,,,,
560,107.882,SEARCHING,0,,,,,
561,108.077,SEARCHING,0,,,,,
562,108.263,SEARCHING,0,,,,,
563,108.51,SEARCHING,0,,,,,
564,108.698,SEARCHING,0,,,,,
565,108.88,SEARCHING,0,,,,,
566,109.076,SEARCHING,0,,,,,
567,109.262,SEARCHING,0,,,,,
568,109.446,SEARCHING,0,,,,,
569,109.642,SEARCHING,0,,,,,
570,109.828,SEARCHING,0,,,,,
571,110.02,SEARCHING,0,,,,,
572,110.217,SEARCHING,0,,,,,
573,110.404,SEARCHING,0,,,,,
574,110.591,SEARCHING,0,,,,,
575,110.78,SEARCHING,0,,,,,
576,110.968,SEARCHING,0,,,,,
577,111.166,SEARCHING,0,,,,,
578,111.353,SEARCHING,0,,,,,
579,111.54,SEARCHING,0,,,,,
580,111.731,SEARCHING,0,,,,,
581,111.919,SEARCHING,0,,,,,
582,112.115,SEARCHING,0,,,,,
583,112.304,SEARCHING,0,,,,,
584,112.491,SEARCHING,0,,,,,
585,112.672,SEARCHING,0,,,,,
586,112.856,SEARCHING,0,,,,,
587,113.055,SEARCHING,0,,,,,
588,113.242,SEARCHING,0,,,,,
589,113.49,SEARCHING,0,,,,,
590,113.673,SEARCHING,0,,,,,
591,113.855,SEARCHING,0,,,,,
592,114.054,SEARCHING,0,,,,,
593,114.238,SEARCHING,0,,,,,
